"","imdb_id","title","genres","release_date","release_year","release_month","country","production_companies","budget","revenue","duration","actors","director","main_country"
"2428",295238,"Personal Velocity (2002)","Drama",2002-12-20,"2002","12","United States","Blue Magic Pictures;Goldheart Pictures;IFC Productions",125000,29943,86,"Kyra Sedgwick;Parker Posey;Fairuza Balk;John Ventimiglia;Ron Leibman;Wallace Shawn;David Warshofsky;Leo Fitzpatrick;Tim Guinee;Patti D'Arbanville;Ben Shenkman;Joel de la Fuente;Marceline Hugot;Brian Tarantina;Seth Gilliam;Josh Philip Weinstein;Lou Taylor Pucci;Mara Hobel","Rebecca Miller","United States"
"2435",101356,"Another You (1991)","Comedy",1991-07-26,"1991","7","United States","TriStar Pictures",1.7e+07,1537965,94,"Richard Pryor;Gene Wilder;Mercedes Ruehl;Stephen Lang;Vanessa Williams;Phil Rubenstein;Peter Michael Goetz;Billy Beck;Jerry Houser;Kevin Pollak;Craig Richard Nelson;Kandis Chappell;Elsa Raven;Catherine E. Coulson;Norman Glasser;Gil Mandelik;Tammy Hanson;Gian-Carlo Scandiuzzi","Maurice Phillips","United States"
"2442",83619,"Barbarosa (1982)","Western",1982-02-19,"1982","2","United States","Incorporated Television Company (ITC)",1.1e+07,285312,90,"Willie Nelson;Gary Busey;Isela Vega;Gilbert Roland;Danny De La Paz;Alma Martinez;George Voskovec;Sharon Compton;Howland Chamberlain;Harry Caesar;Wolf Muser;Kai Wulff;Roberto Contreras;Luis Contreras;Itasco Wilson;Bruce Smith;Sonia de León;Joanelle Romero","Fred Schepisi","United States"
"2445",83678,"Border, The (1982)","Drama",1982-02-12,"1982","2","United States","Efer Productions;RKO Pictures;Universal Pictures",2.2e+07,516014,108,"Jack Nicholson;Harvey Keitel;Valerie Perrine;Warren Oates;Elpidia Carrillo;Shannon Wilcox;Manuel Viescas;Jeff Morris;Mike Gomez;Dirk Blocker;Lonny Chapman;Stacey Pickren;Floyd Levine;James Jeter;Alan Fudge;William Russ;Gary Grubbs;Gary Sexton","Tony Richardson","United States"
"2446",83717,"Cannery Row (1982)","Drama",1982-02-12,"1982","2","United States","Chai Productions;Metro-Goldwyn-Mayer (MGM)",11300000,1500000,120,"Nick Nolte;Debra Winger;Audra Lindley;Frank McRae;M. Emmet Walsh;Tom Mahoney;John Malloy;James Keane;Sunshine Parker;Santos Morales;John Huston;Ellen Blake;Sharon Ernster;Kathleen Doyle;Mary Margaret Amato;Brenda Hillhouse;Mariko Tse;Colleen O'Grady","David S. Ward","United States"
"2452",298856,"Evelyn (2002)","Drama",2002-12-25,"2002","12","United StatesGermanyIrelandUnited KingdomNetherlands","First Look International;Cinerenta Medienbeteiligungs KG;Irish DreamTime",1e+07,65344,94,"Pierce Brosnan;Julianna Margulies;Aidan Quinn;Sophie Vavasseur;Niall Beagan;Hugh McDonagh;Mairead Devlin;Frank Kelly;Clare Mullen;Alvaro Lucchesi;Garrett Keogh;Daithi O'Suilleabhain;Andrea Irvine;Marian Quinn;Karen Ardiff;Bosco Hogan;Des Braiden;Sorcha Herlihy","Bruce Beresford","United States"
"2456",168786,"Antwone Fisher (2002)","Drama",2003-01-10,"2003","1","United States","Searchlight Pictures;Mundy Lane Entertainment",12500000,210013,120,"Denzel Washington;Derek Luke;Joy Bryant;Malcolm David Kelley;Cory Hodges;Salli Richardson-Whitfield;Leonard Earl Howze;Kente Scott;Kevin Connolly;Rainoldo Gooding;Novella Nelson;Stephen Snedden;Leo Nepomuceno;Sung Kang;Cordell Stokes;Ellis Williams;Timothy Reddick;Yolonda Ross","Denzel Washington","United States"
"2465",91814,"Quicksilver (1986)","Drama",1986-02-14,"1986","2","United States","Columbia Pictures;Delphi V Productions;IndieProd Company Productions",1e+07,3170215,105,"Kevin Bacon;Jami Gertz;Paul Rodriguez;Rudy Ramos;Andrew Smith;Gerald S. O'Loughlin;Laurence Fishburne;Louie Anderson;Charles McCaughan;David Harris;Whitney Kershaw;Joshua Shelley;Georgann Johnson;Nelson Vails;Lou Dinos;Michael Kaye;Joel Weiss;Leila Kane","Thomas Michael Donnelly","United States"
"2468",290210,"Max (2002)","Drama",2003-06-20,"2003","6","HungaryCanadaUnited Kingdom","AAMPI Inc.;Aconit Pictures;Alliance Atlantis Communications",1.1e+07,30157,106,"John Cusack;Noah Taylor;Leelee Sobieski;Molly Parker;Ulrich Thomsen;David Horovitch;Janet Suzman;András Stohl;John Grillo;Anna Nygh;Krisztián Kolovratnik;Peter Capaldi;Yuliya Vysotskaya;János Kulka;Kata Pálfi;Kevin McKidd;Heather Cameron-McLintock;Joel Pitts","Menno Meyjes","Hungary"
"2472",282698,"Love Liza (2002)","Drama",2003-01-31,"2003","1","FranceGermanyUnited States","Starhaus Filmproduktion;Wild Bunch;StudioCanal",1e+06,15522,90,"Philip Seymour Hoffman;Annie Morgan;Kathy Bates;J.D. Walsh;Jimmy Raskin;Erika Alexander;Sarah Koskoff;Mark Hannibal;Jim Wise;Trace Turville;Wayne Duvall;Stephen Tobolowsky;Kevin Breznahan;Jennifer Keddy;David Lenthall;Jack Kehler;Pauline Boyd;Ernest Perry Jr.","Todd Louiso","France"
"2475",245341,"P.S. Your Cat is Dead (2002)","Comedy",2002-02-22,"2002","2","United States","Mr. Kirby Productions",2e+06,9424,92,"Steve Guttenberg;Cynthia Watros;Lombardo Boyar;A.J. Benza;Tom Wright;Shirley Knight;Kenneth Moskow;Paul Dillon;Fred Medrano;Ann Guttenberg;Stanley Guttenberg;Kim Marriner;Patsy Fitzgerald;Christopher Vogler;Lisa Popeil;Susan Stahnke;Frederick Lawrence;Tom Mesmer","Steve Guttenberg","United States"
"2478",287934,"Big Shot's Funeral (Da Wan) (2001)","Comedy",2001-12-21,"2001","12","ChinaHong Kong","China Film Group Corporation (CFGC);Columbia Pictures Film Production Asia;Columbia Pictures",3300000,529,107,"Donald Sutherland;Rosamund Kwan;Paul Mazursky;You Ge;Da Ying;Ping He;Biao Fu;Chengru Li;Christopher Barden;Hanyu Zhang;Paul Duke;Xiaogeng Li;Yiwei Liu;Xiao-Li Xu;Ye Hong;Yuan De-Wang;Xilin Zhang;Xin Yang","Xiaogang Feng","China"
"2479",103671,"American Me (1992)","Drama",1992-03-13,"1992","3","United States","Hivemind;Olmos Productions;Universal Pictures",1.6e+07,3378100,125,"Edward James Olmos;William Forsythe;Sal Lopez;Vira Montes;Roberto Martín Márquez;Dyana Ortelli;Joe Aubel;Rob Garrett;Lance August;Cody Glenn;Don Pugsley;Panchito Gómez;Albert Joe Medina Jr.;Alex Solís;Raymond Amezquita;Steve Wilcox;Richard Coca;Javier Castellanos","Edward James Olmos","United States"
"2481",106500,"CB4 - The Movie (1993)","Comedy",1993-03-12,"1993","3","United States","Imagine Entertainment;Universal Pictures",6e+06,6122450,89,"Chris Rock;Allen Payne;Deezer D;Chris Elliott;Phil Hartman;Charlie Murphy;Khandi Alexander;Art Evans;Theresa Randle;Willard E. Pugh;Ty Granderson Jones;Rachel True;Victor Wilson;Richard Gant;J.D. Daniels;Stoney Jackson;Isaac Hayes;LaWanda Page","Tamra Davis","United States"
"2482",102500,"Mystery Date (1991)","Comedy",1991-08-16,"1991","8","United States","Orion Pictures",1e+07,1952569,97,"Ethan Hawke;Teri Polo;Brian McNamara;Fisher Stevens;BD Wong;Tony Rosato;Don S. Davis;James Hong;Victor Wong;Ping Wu;Duncan Fraser;Jerry Wasserman;Terry David Mulligan;Merrilyn Gann;Stephen Chang;Russell Jung;Michele Little;Allan Lysell","Jonathan Wacks","United States"
"2487",106833,"Ethan Frome (1993)","Drama",1993-03-12,"1993","3","United KingdomUnited States","American Playhouse;British Broadcasting Corporation (BBC);Richard Price",3e+06,57623,99,"Liam Neeson;Patricia Arquette;Gil Rood;Tate Donovan;Stephen Mendillo;Phil Garran;Virginia Smith;Annie Nessen;Katharine Houghton;Marcie Vaughan;Burt Porter;Rusty De Wees;Paul Donlon;Joan Allen;Robert Nutt;David Dellinger;W. Clark Noyes;Howard Boardman","John Madden","United Kingdom"
"2489",107079,"Sugar Hill (1994)","Drama",1994-02-25,"1994","2","United States","Beacon Communications;Beacon Pictures;Ghiznoz Productions",1e+07,5712485,123,"Wesley Snipes;Michael Wright;Khandi Alexander;DeVaughn Nixon;Marquise Wilson;O.L. Duke;Clarence Williams III;Abe Vigoda;Anthony Thomas;John Pittman;Steve Harris;Michael Guess;Kimberly Russell;Theresa Randle;Abdul Mutakabbir;Yusaf Ramadan;Karl Johnson;Andre Lamal","Leon Ichaso","United States"
"2497",83947,"Five Days One Summer (1982)","Drama",1905-06-04,"1905","6","United States","Cable and Wireless Finance;Major Studio Partners;The Ladd Company",1.5e+07,43891,96,"Sean Connery;Betsy Brantley;Lambert Wilson;Jennifer Hilary;Isabel Dean;Gérard Buhr;Anna Massey;Sheila Reid;Georges Claisse;Kathy Marothy;Terry Kingley;Emilie Lihou;Alfred Schmidhauser;Jerry Brouer;Marc Duret;François Caron;Benoît Ferreux;Alexander John","Fred Zinnemann","United States"
"2503",84477,"Partners (1982)","Comedy",1982-04-30,"1982","4","United States","Paramount Pictures;Aaron Russo Productions",6e+06,2318801,93,"Ryan O'Neal;John Hurt;Kenneth McMillan;Robyn Douglass;Jay Robinson;Denise Galik;Joseph R. Sicari;Michael McGuire;Rick Jason;James Remar;Jennifer Ashley;Darrell Larson;Tony March;Seamon Glass;Steven Reisch;Carl Kraines;Bob Ozman;Carol Williard","James Burrows","United States"
"2504",84691,"Six Weeks (1982)","Drama",1982-12-17,"1982","12","United States","PolyGram Pictures;Guber-Peters Company",9e+06,978541,107,"Dudley Moore;Mary Tyler Moore;Katherine Healy;Shannon Wilcox;Bill Calvert;Joe Regalbuto;John Harkins;Michael Ensign;Anne Ditchburn;Chea Collette;Clement von Franckenstein;Joan Yale Edmundson;Emily Seltzer;Martin Casella;Darwyn Carson;Fausto Barajas;Darrell Larson;Frank Adamo","Tony Bill","United States"
"2517",91575,"Murphy's Law (1986)","Action",1986-04-18,"1986","4","United States","Cannon Group;Golan-Globus Productions",6e+06,3388907,100,"Charles Bronson;Kathleen Wilhoite;Carrie Snodgress;Robert F. Lyons;Richard Romanus;Angel Tompkins;Bill Henderson;James Luisi;Clifford A. Pellow;Janet MacLachlan;Lawrence Tierney;Jerome Thor;Mischa Hausserman;Cal Haynes;Hans Howes;Joseph Roman;Chris DeRose;Frank Annese","J. Lee Thompson","United States"
"2523",302886,"Old School (2003)","Comedy",2003-02-21,"2003","2","United States","Dreamworks Pictures;The Montecito Picture Company",2.4e+07,17453216,88,"Luke Wilson;Vince Vaughn;Will Ferrell;Jeremy Piven;Ellen Pompeo;Juliette Lewis;Leah Remini;Perrey Reeves;Craig Kilborn;Elisha Cuthbert;Seann William Scott;Matt Walsh;Artie Lange;Patrick Fischler;Sara Tanaka;Harve Presnell;Katherine Ellis;Phe Caplan","Todd Phillips","United States"
"2529",102303,"Life Stinks (1991)","Comedy",1991-07-26,"1991","7","United States","Brooksfilms;MGM-Pathé Communications Co.",1.3e+07,1920215,92,"Mel Brooks;Lesley Ann Warren;Jeffrey Tambor;Stuart Pankin;Howard Morris;Rudy De Luca;Teddy Wilson;Michael Ensign;Matthew Faison;Billy Barty;Brian Thompson;Raymond O'Connor;Carmine Caridi;Sammy Shore;Frank Roman;Marvin Braverman;Robert Ridgely;John Welsh","Mel Brooks","United States"
"2530",107563,"Meteor Man, The (1993)","Comedy",1993-08-06,"1993","8","United States","Metro-Goldwyn-Mayer (MGM);Tinsel Townsend",2e+07,2643091,100,"Robert Townsend;Marla Gibbs;Eddie Griffin;Robert Guillaume;James Earl Jones;Roy Fegan;Cynthia Belgrave;Marilyn Coleman;Don Cheadle;Bobby McGee;Bill Cosby;Big Daddy Kane;Frank Gorshin;Sinbad;Nancy Wilson;Luther Vandross;Another Bad Creation;Romelle 'Ro Ro' Chapman","Robert Townsend","United States"
"2532",266971,"Slaughter Rule, The (2002)","Drama",2002-09-14,"2002","9","United States","Solaris",5e+05,1461,112,"Ryan Gosling;David Morse;Clea DuVall;David Cale;Eddie Spears;Kelly Lynch;Amy Adams;Ken White;Noah Watts;Kim DeLong;Geraldine Keams;Douglas Sebern;Cody Harvey;Melkon Andonian;J.P. Gabriel;Chris Offutt;John Henry Marshall;Juliana F. Clayton","Alex Smith;Andrew J. Smith","United States"
"2533",305669,"Bringing Down the House (2003)","Comedy",2003-03-07,"2003","3","United States","Touchstone Pictures;Hyde Park Films;Mandeville Films",3.3e+07,31101026,105,"Steve Martin;Queen Latifah;Eugene Levy;Joan Plowright;Jean Smart;Kimberly J. Brown;Angus T. Jones;Missi Pyle;Michael Rosenbaum;Betty White;Steve Harris;Jim Haynie;Aengus James;Jernard Burks;Bronzell Miller;Matt Lutz;Randy Oglesby;Jesse Corti","Adam Shankman","United States"
"2540",322824,"Japon (a.k.a. Japan) (Japón) (2002)","Drama",2003-04-04,"2003","4","MexicoSpain","No Dream Cinema;Mantarraya Producciones;Hubert Bals Fund",250050,3562,130,"Alejandro Ferretis;Magdalena Flores;Yolanda Villa;Martín Serrano;Rolando Hernández;Bernabe Pérez;Fernando Benítez;Carlo Reygadas Barquín;Marcos Hernández","Carlos Reygadas","Mexico"
"2541",285462,"Boat Trip (2003)","Comedy",2003-03-21,"2003","3","United StatesGermany","Motion Picture Corporation of America (MPCA);International West Pictures (IWP);ApolloMedia Distribution",2e+07,3700000,94,"Cuba Gooding Jr.;Horatio Sanz;Roselyn Sanchez;Vivica A. Fox;Maurice Godin;Roger Moore;Lin Shaye;Victoria Silvstedt;Ken Hudson Campbell;Zen Gesner;William Bumiller;Noah York;Richard Roundtree;Bob Gunton;Jennifer Gareis;Steven M. Porter;Li Hagman;Jerry Collins","Mort Nathan","United States"
"2544",283323,"Down and Out with the Dolls (2001)","Comedy",2002-04-26,"2002","4","United States","Whyte House Entertainment;Whyte House Productions",1200000,13684,88,"Zoë Poledouris;Kinnie Starr;Melody Moore;Nicole Barrett;Coyote Shivers;Brendan O'Hara;Mikael Jehanno;Jennifer Shepard;Shawn Robinson;Sierra Feldner-Shaw;Lemmy;Kate Merrill;Janis Tanaka;Inger Lorre;Chase Caterina;Todd Coleman Smee","Kurt Voss","United States"
"2548",325537,"Head of State (2003)","Comedy",2003-03-28,"2003","3","United States","Dreamworks Pictures;3 Arts Entertainment",35200000,13503484,95,"Chris Rock;Bernie Mac;Lynn Whitfield;Dylan Baker;Nick Searcy;Robin Givens;Tamala Jones;James Rebhorn;Keith David;Tracy Morgan;Stephanie March;Robert Stanton;Jude Ciccolella;Nate Dogg;Angie Mattson;Elizabeth J. Carlisle;Kirk Penberthy;John Badila","Chris Rock","United States"
"2556",304328,"Levity (2003)","Drama",2003-08-29,"2003","8","United StatesFrance","StudioCanal;Sony Pictures Classics;FilmColony",7500000,30599,100,"Billy Bob Thornton;Morgan Freeman;Kirsten Dunst;Holly Hunter;Manuel Aranguiz;Geoffrey Wigdor;Luke Robertson;Dorian Harewood;Catherine Colvey;Billoah Greene;Sadiki Burke;Abede Burke;Diego Abella;Brent Rogers;Cordell Clyde;Fabio Lopez;Chris D'Arienzo;Gillian Ferrabee","Ed Solomon","United States"
"2557",305224,"Anger Management (2003)","Comedy",2003-04-11,"2003","4","United States","Revolution Studios;Happy Madison Productions;Anger Management LLC",7.5e+07,42220847,106,"Jack Nicholson;Adam Sandler;Marisa Tomei;Luis Guzmán;Allen Covert;Lynne Thigpen;Kurt Fuller;Jonathan Loughran;Krista Allen;January Jones;Woody Harrelson;John Turturro;Kevin Nealon;Conrad Goode;Gina Gallego;Nancy Carell;Marisa Chandler;Don Diamont","Peter Segal","United States"
"2560",251736,"House of 1000 Corpses (2003)","Horror",2003-04-11,"2003","4","United States","Spectacle Entertainment Group;Universal Pictures",7e+06,3400000,89,"Sid Haig;Karen Black;Bill Moseley;Sheri Moon Zombie;Chad Bannon;William Bassett;Erin Daniels;Joe Dobbs III;Judith Drake;Dennis Fimple;Gregg Gibbs;Walton Goggins;Chris Hardwick;Ken Johnson;Jennifer Jostyn;Irwin Keyes;Matthew McGrory;Jake McKinnon","Rob Zombie","United States"
"2568",100611,"Sibling Rivalry (1990)","Comedy",1990-10-26,"1990","10","United States","Castle Rock Entertainment;Nelson Entertainment;Nelson Entertainment",1.6e+07,4017930,87,"Kirstie Alley;Bill Pullman;Carrie Fisher;Jami Gertz;Scott Bakula;Frances Sternhagen;John Randolph;Sam Elliott;Ed O'Neill;Bill Macy;Matthew Laurance;Paul Benedict;Ron Orbach;Edward Escobar;Greg Collins;Patrick Cronin;Dian Kobayashi;Teddy M. Haggarty","Carl Reiner","United States"
"2570",102849,"Scenes from a Mall (1991)","Comedy",1991-02-22,"1991","2","United States","Touchstone Pictures;Silver Screen Partners IV",3e+06,3825068,89,"Bette Midler;Woody Allen;Bill Irwin;Daren Firestone;Rebecca Nickels;Paul Mazursky;Gregory Moore;Michael Brown;Jonathan Guss;David Frye;Joseph Warren;Brian Warren;Darrell Mason;Marc Shaiman;Augustin Bustamante;Leonel Cruz;Telmo Hernández;Steve Ortiz","Paul Mazursky","United States"
"2573",360916,"Real Cancun, The (2003)","Documentary",2003-04-25,"2003","4","United States","Bunim-Murray Productions (BMP);FilmEngine",7500000,2300000,96,"Benjamin Fletcher;Nicole Frilot;Roxanne Frilot;David Ingber;Jeremy Jazwinski;Amber Madison;Paul Malbry;Marquita 'Sky' Marshall;Laura Ramsey;Matthew Slenske;Alan Taylor;Heidi Vance;Jorell Washington;Casey Weeks;Sarah Wilkins;Chris Desanti;Jason Karlinski;Dj Jam","Rick de Oliveira","United States"
"2579",290145,"Blue Car (2002)","Drama",2003-05-02,"2003","5","United States","Peer Oppenheimer Production Inc.",1e+06,30087,96,"David Strathairn;Agnes Bruckner;Margaret Colin;Frances Fisher;A.J. Buckley;Regan Arnold;Sarah Buehler;Dustin Sterling;Michael Joseph Thomas Ward;Wayne Armstrong;Aftab Pureval;Wendy Lardin;Jenn O'nofrio;Michael Raysses;Amy Benedict;Jaime Scheingross;Julie Schuster;Jane Mowder","Karen Moncrieff","United States"
"2582",308878,"Shape of Things, The (2003)","Drama",2003-05-16,"2003","5","United StatesFranceUnited Kingdom","Mepris Films;Pretty Pictures;StudioCanal",4e+06,173246,96,"Paul Rudd;Rachel Weisz;Gretchen Mol;Frederick Weller","Neil LaBute","United States"
"2590",314786,"In-Laws, The (2003)","Comedy",2003-05-23,"2003","5","United StatesGermanyCanada","Franchise Pictures;Gerber Pictures;Furthur Films",4e+07,7319848,98,"Albert Brooks;Michael Douglas;Ryan Reynolds;Lindsay Sloane;Michael Bodnar;Vladimir Radian;Robin Tunney;Boyd Banks;Susan Aceron;Maria Ricossa;Tseng Chang;Tamara Gorski;Matt Birman;A. Russell Andrews;Richard Waugh;Sergio Di Zio;Aaron Abrams;Emmy Laybourne","Andrew Fleming","United States"
"2595",298228,"Whale Rider (2002)","Drama",2003-08-29,"2003","8","New ZealandGermany","South Pacific Pictures;ApolloMedia Distribution;Pandora Filmproduktion",3500000,137418,101,"Keisha Castle-Hughes;Rawiri Paratene;Vicky Haughton;Cliff Curtis;Grant Roa;Mana Taumaunu;Rachel House;Taungaroa Emile;Tammy Davis;Mabel Wharekawa;Rawinia Clarke;Tahei Simpson;Roi Taimana;Elizabeth Skeen;Tyronne White;Taupua Whakataka-Brightwell;Tenia McClutchie-Mita;Peter Patuwai","Niki Caro","New Zealand"
"2596",100827,"Two Evil Eyes (1990)","Horror",1991-10-25,"1991","10","ItalyUnited States","ADC Films;Gruppo Bema",9e+06,260410,120,"Adrienne Barbeau;Harvey Keitel;Ramy Zada;Bingo O'Malley;Jeff Howell;E.G. Marshall;Madeleine Potter;John Amos;Sally Kirkland;Kim Hunter;Holter Graham;Martin Balsam;Chuck Aber;Jonathan Adams;Tom Atkins;Mitchell Baseman;Julie Benz;Barbara Bryne","Dario Argento(segment The Black Cat);George A. Romero(segment The Facts in the Case of Mr. Valdemar)","Italy"
"2598",120142,"6th Man, The (Sixth Man, The) (1997)","Comedy",1997-03-28,"1997","3","United States","Touchstone Pictures;All Net Productions;Mandeville Films",1.1e+07,4128178,107,"Marlon Wayans;Kadeem Hardison;David Paymer;Michael Michele;Kevin Dunn;Gary Jones;Lorenzo Orr;Vladimir Cuk;Travis Ford;Jack Karuletwa;Chris Spencer;Kirk Baily;Saundra McClain;Harold Sylvester;Octavia Spencer;Danielle Saklofsky;Chris Turner;Scott LaRose","Randall Miller","United States"
"2605",329028,"Dumb and Dumberer: When Harry Met Lloyd (2003)","Comedy",2003-06-13,"2003","6","United States","New Line Cinema;Burg/Koules Productions;Avery Pix",1.9e+07,11100000,85,"Derek Richardson;Eric Christian Olsen;Eugene Levy;Timothy Stack;Mimi Rogers;Wayne Federman;Lucas Gregory;Luis Guzmán;Rachel Nichols;Elden Henson;Cheri Oteri;Holly Towne;Josh Braaten;Vahe Manoukian;William Lee Scott;Michelle Krusiec;Shia LaBeouf;Teal Redmann","Troy Miller","United States"
"2610",298050,"Manito (2002)","Drama",2002-01-15,"2002","1","United States","Smashing Entertainment;The 7th Floor",24000,11000,78,"Leo Minaya;Jessica Morales;Franky G;Manuel Cabral;Julissa Lopez;Héctor González;Panchito Gómez;Lavidania Ramirez;Casper Martinez;Lou Torres;Adael Irizarry;Edwin De Leon;Jeff Knite;Jay Dog;Gilly Delgado;Yovanna Jose;Tiffany Yates;John McGrath","Eric Eason","United States"
"2618",93660,"Nuts (1987)","Drama",1987-12-11,"1987","12","United States","Warner Bros.;Barwood Films",2.5e+07,4606083,116,"Barbra Streisand;Richard Dreyfuss;Maureen Stapleton;Karl Malden;Eli Wallach;Robert Webber;James Whitmore;Leslie Nielsen;William Prince;Dakin Matthews;Paul Benjamin;Warren Manzi;Elizabeth Hoffman;Castulo Guerra;Stacy Bergman;Hayley Taylor;Matt Riivald;John Wesley","Martin Ritt","United States"
"2620",333780,"Legally Blonde 2: Red, White & Blonde (2003)","Comedy",2003-07-02,"2003","7","United States","Metro-Goldwyn-Mayer (MGM);Marc Platt Productions;Type A Films",4.5e+07,22220670,95,"Reese Witherspoon;Sally Field;Bob Newhart;Regina King;Jennifer Coolidge;Bruce McGill;Dana Ivey;Mary Lynn Rajskub;Jessica Cauffiel;Alanna Ubach;J Barton;Stanley Anderson;Bruce Thomas;Luke Wilson;Ruth Williamson;Jack McGee;Amir Talai;Gregorio","Charles Herman-Wurmfeld","United States"
